de,1
la,2
el,3
y,4
en,5
que,6
a,7
los,8
se,9
del,10
no,11
un,12
las,13
por,14
una,15
con,16
que,17
es,18
su,19
para,20
al,21
como,22
más,23
lo,24
o,25
pero,26
me,27
sus,28
le,29
a,30
yo,31
si,32
ya,33
ha,34
porque,35
muy,36
este,37
era,38
entre,39
son,40
cuando,41
también,42
sí,43
fue,44
que,45
todo,46
está,47
dos,48
mi,49
hay,50
sobre,51
había,52
hasta,53
esta,54
sin,55
qué,56
desde,57
años,58
ser,59
lo,60
tiene,61
eso,62
todos,63
así,64
ese,65
entonces,66
uno,67
han,68
te,69
él,70
nos,71
vez,72
parte,73
puede,74
esa,75
pues,76
ahora,77
donde,78
gran,79
de,80
ni,81
bien,82
tiempo,83
sólo,84
durante,85
otros,86
eh,87
otro,88
bueno,89
ella,90
otra,91
cada,92
vida,93
e,94
país,95
dijo,96
mismo,97
nada,98
estaba,99
mucho,100
aunque,101
tan,102
tres,103
siempre,104
después,105
forma,106
hace,107
hacer,108
año,109
día,110
gobierno,111
esto,112
decir,113
sea,114
están,115
casa,116
hacia,117
va,118
mundo,119
ellos,120
siglo,121
sido,122
creo,123
cómo,124
aquí,125
algo,126
les,127
tanto,128
unos,129
cosas,130
estos,131
mayor,132
claro,133
momento,134
todas,135
otras,136
ver,137
mientras,138
además,139
tenía,140
tienen,141
hoy,142
sino,143
nacional,144
contra,145
primera,146
hombre,147
lugar,148
casi,149
algunos,150
menos,151
luego,152
ejemplo,153
usted,154
millones,155
toda,156
presidente,157
he,158
sé,159
muchos,160
veces,161
gente,162
mejor,163
ciudad,164
mí,165
embargo,166
quien,167
grandes,168
nuevo,169
caso,170
días,171
fueron,172
primer,173
lo,174
tú,175
ahí,176
estas,177
trabajo,178
nosotros,179
nunca,180
pueden,181
tener,182
que,183
eran,184
bajo,185
cosa,186
tipo,187
parece,188
historia,189
cuatro,190
según,191
dice,192
general,193
muchas,194
la,195
sin,196
allí,197
poco,198
manera,199
fin,200
ante,201
sistema,202
verdad,203
importante,204
noche,205
debe,206
países,207
mujer,208
personas,209
agua,210
obra,211
tengo,212
guerra,213
dentro,214
mis,215
frente,216
ojos,217
hizo,218
punto,219
habían,220
vamos,221
lado,222
misma,223
medio,224
padre,225
b,226
tras,227
música,228
san,229
tu,230
cualquier,231
grupo,232
esos,233
haber,234
españa,235
lo,236
después,237
cinco,238
estar,239
algunas,240
antes,241
nadie,242
poco,243
mil,244
por,245
estado,246
todavía,247
obras,248
nombre,249
josé,250
sobre,251
i,252
nuestro,253
unas,254
qué,255
través,256
nueva,257
problema,258
proceso,259
alguna,260
tierra,261
desarrollo,262
hecho,263
realidad,264
ah,265
cuenta,266
mano,267
antes,268
esas,269
madre,270
estoy,271
número,272
van,273
acuerdo,274
aún,275
arte,276
familia,277
tenemos,278
muerte,279
cuerpo,280
podía,281
da,282
población,283
mayoría,284
social,285
centro,286
tuvo,287
señor,288
iba,289
nuestra,290
problemas,291
partido,292
ir,293
ciento,294
pueblo,295
cierto,296
hombres,297
será,298
voy,299
incluso,300
manos,301
varios,302
estamos,303
ayer,304
situación,305
juan,306
persona,307
europa,308
pregunta,309
dar,310
méxico,311
hemos,312
todo,313
sería,314
estaban,315
primero,316
algún,317
cabeza,318
voz,319
segundo,320
horas,321
luz,322
don,323
allá,324
podría,325
tal,326
meses,327
norte,328
ley,329
pasado,330
hora,331
llegar,332
partir,333
hijo,334
importantes,335
junto,336
universidad,337
república,338
política,339
dio,340
mujeres,341
sentido,342
sociedad,343
dicho,344
serie,345
no,346
sur,347
hablar,348
nivel,349
sabe,350
quién,351
seis,352
niños,353
poder,354
ello,355
semana,356
movimiento,357
partido,358
digo,359
primeros,360
pesar,361
quiere,362
periodo,363
paz,364
producción,365
gracias,366
mundial,367
fuerza,368
fuera,369
tema,370
soy,371
eso,372
hecho,373
campo,374
aire,375
bastante,376
diferentes,377
puerta,378
poder,379
solo,380
hacía,381
tarde,382
francia,383
vista,384
información,385
zona,386
aquel,387
final,388
pasa,389
mar,390
papel,391
paso,392
palabras,393
carlos,394
dios,395
grande,396
buena,397
hubiera,398
medios,399
ningún,400
teatro,401
calle,402
política,403
década,404
llegó,405
amor,406
cultura,407
segunda,408
dinero,409
diez,410
edad,411
tampoco,412
demás,413
pronto,414
varias,415
libro,416
internacional,417
fondo,418
orden,419
ellas,420
especial,421
grupos,422
idea,423
principales,424
ninguna,425
media,426
tal,427
cara,428
propio,429
tenido,430
relación,431
principio,432
decía,433
madrid,434
interés,435
haciendo,436
luis,437
iii,438
dado,439
quiero,440
principal,441
hijos,442
respuesta,443
educación,444
niño,445
iglesia,446
realmente,447
visto,448
quienes,449
cerca,450
difícil,451
real,452
puedo,453
razón,454
aquella,455
haya,456
mañana,457
miembros,458
cambio,459
cuba,460
formas,461
sol,462
estudio,463
programa,464
región,465
cabo,466
buen,467
proyecto,468
equipo,469
capital,470
político,471
mediante,472
estado,473
seguridad,474
mercado,475
escuela,476
maría,477
propia,478
saber,479
siguiente,480
dólares,481
central,482
dónde,483
ustedes,484
investigación,485
camino,486
base,487
presencia,488
fuerzas,489
modo,490
control,491
apenas,492
siendo,493
nuestros,494
condiciones,495
falta,496
pasó,497
existe,498
ii,499
actual,500
palabra,501
solamente,502
juego,503
estilo,504
nuevos,505
clase,506
nuevas,507
mira,508
hacen,509
gusta,510
ministro,511
río,512
director,513
hubo,514
siete,515
salir,516
lengua,517
trata,518
ambos,519
tarde,520
actividad,521
literatura,522
libre,523
elementos,524
libertad,525
pasar,526
pedro,527
alguien,528
debido,529
casos,530
partes,531
importancia,532
mes,533
energía,534
color,535
posible,536
suelo,537
cantidad,538
uso,539
partidos,540
estado,541
relaciones,542
elecciones,543
demasiado,544
organización,545
mucha,546
viene,547
libros,548
favor,549
economía,550
llama,551
congreso,552
sigue,553
tenían,554
seguir,555
derecho,556
servicio,557
productos,558
recursos,559
principios,560
carrera,561
económica,562
alto,563
estudios,564
véase,565
ve,566
quedó,567
boca,568
queda,569
prensa,570
ocho,571
origen,572
igual,573
encuentra,574
acción,575
policía,576
atención,577
fuerte,578
para,579
deben,580
finales,581
vi,582
especialmente,583
parecía,584
valor,585
los,586
puntos,587
sangre,588
habitantes,589
comenzó,590
espacio,591
dije,592
dirección,593
alta,594
mayo,595
julio,596
ciudades,597
estuvo,598
largo,599
américa,600
cuanto,601
s,602
ii,603
especie,604
sector,605
especies,606
dicen,607
trabajar,608
sabía,609
quería,610
silencio,611
antonio,612
pensar,613
resto,614
temas,615
empresa,616
pudo,617
introducción,618
naturaleza,619
alemania,620
cuál,621
derechos,622
carácter,623
minutos,624
próximo,625
oro,626
tomar,627
rey,628
menor,629
volvió,630
estructura,631
zonas,632
capacidad,633
pocos,634
vio,635
santa,636
futuro,637
dejó,638
vivir,639
comercio,640
influencia,641
pequeño,642
sociales,643
anterior,644
alrededor,645
tiempos,646
superficie,647
vos,648
línea,649
territorio,650
pri,651
jefe,652
posición,653
crisis,654
imagen,655
pública,656
doctor,657
habla,658
pueda,659
española,660
conocer,661
autoridades,662
que,663
experiencia,664
cuyo,665
español,666
atrás,667
existen,668
mitad,669
materia,670
mal,671
cuya,672
ejército,673
animales,674
menos,675
salud,676
mesa,677
señora,678
quizá,679
económico,680
cual,681
unión,682
posibilidad,683
parís,684
popular,685
viejo,686
calidad,687
interior,688
v,689
habría,690
padres,691
corazón,692
políticos,693
comunidad,694
necesidad,695
viaje,696
miedo,697
construcción,698
fuera,699
puso,700
natural,701
ideas,702
cambios,703
amigos,704
siquiera,705
crecimiento,706
campaña,707
hicieron,708
podemos,709
duda,710
aquellos,711
tipos,712
opinión,713
militar,714
x,715
función,716
actividades,717
apoyo,718
baja,719
encuentran,720
humano,721
largo,722
tienes,723
adelante,724
total,725
pintura,726
lucha,727
defensa,728
junio,729
momentos,730
necesario,731
digamos,732
siglos,733
conjunto,734
enorme,735
decisión,736
poner,737
convirtió,738
empresas,739
servicios,740
italia,741
primeras,742
autor,743
llevar,744
pie,745
televisión,746
teoría,747
ambiente,748
pequeña,749
formación,750
dejar,751
madera,752
esté,753
abril,754
causa,755
precisamente,756
cultural,757
